nflId,displayName,gameId,playId,abbr_name
44932,Tarik Cohen,2020092700,3775,T.Cohen
40217,Cody Davis,2020092704,4048,C.Davis
46457,Ola Adeniyi,2020092707,810,O.Adeniyi
46729,Brandon Facyson,2020100407,700,B.Facyson
52502,Josiah Deguara,2020100500,3749,J.Deguara
48241,Keisean Nixon,2020101103,2518,K.Nixon
47849,Diontae Johnson,2020101106,404,D.Johnson
47606,Cole Mazza,2020101200,3030,C.Mazza
33130,DeSean Jackson,2020102200,3921,D.Jackson
45509,Isaiah Irving,2020102508,2198,I.Irving
44923,Dede Westbrook,2020102513,3272,D.Westbrook
48472,Patrick Laird,2020110106,2722,P.Laird
46113,Dante Pettis,2020110109,2449,D.Pettis
53028,Khalil Dorsey,2020110802,238,K.Dorsey
53028,Khalil Dorsey,2020110802,3547,K.Dorsey
46846,Joshua Kalu,2020110806,2656,J.Kalu
44861,Ryan Anderson,2020111502,987,R.Anderson
46823,Mike Ford,2020111502,2079,M.Ford
44045,Jalen Richard,2020111507,1490,J.Richard
46823,Mike Ford,2020112201,2054,M.Ford
46916,Steven Parker,2020112601,123,S.Parker
48322,Austin Walter,2020112909,2170,A.Walter
52583,Kamal Martin,2020112911,1571,K.Martin
41416,Bennett Jackson,2020120605,625,B.Jackson
52511,Davion Taylor,2020120610,1250,D.Taylor
46432,Raven Greene,2020120610,3092,R.Greene
43986,Antonio Hamilton,2020120612,3019,A.Hamilton
45533,Joseph Jones,2020121900,2743,J.Jones
46959,Jaeden Graham,2020122005,1871,J.Graham
52552,DeeJay Dallas,2020122010,1798,D.Dallas
43487,Derek Watt,2020122100,120,D.Watt
46147,Malik Jefferson,2020122702,688,M.Jefferson
47892,Khari Willis,2020122709,2712,K.Willis
47974,Marcus Epps,2020122712,815,M.Epps
46729,Brandon Facyson,2021010306,2329,B.Facyson
